query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;l_input_rows;r_input_rows;peak_mem;output_rows;child_plan
6;3;1;1;16;16;ExchangeOperator;866.072;3885517;0;12730368;3885517;16
6;4;1;1;16;16;OrderBy;7840.720;3885517;0;99240256;3885517;3
6;5;1;0;4;16;LocalMerge;854.503;0;0;503808;3885517;6
6;6;1;1;16;16;CallbackSink;9.370;3885517;0;0;0;4
6;7;1;0;4;16;PartitionedOutput;1603.800;3885517;0;38070912;3885517;5
6;8;2;3;16;16;LocalExchangeSourceOperator;985.480;11474023;0;688128;11474023;26
6;9;2;2;16;16;HashBuilderOperator;6130.280;11474023;0;66199680;0;27
6;10;2;1;16;16;ExchangeOperator;2580.055;15000000;0;13533184;15000000;29
6;11;2;1;16;16;LookupJoinOperator;2535.900;15000000;0;1943552;11474023;9,10
6;12;2;0;16;16;LocalExchangeSinkOperator;120.123;3885537;0;0;3885537;19
6;13;2;1;16;16;LookupJoinOperator;759.710;11474023;0;231424;11474023;24,11
6;14;2;0;16;16;Aggregation;8579.080;3885537;0;72515584;3885517;12
6;15;2;1;16;16;FilterProject;318.910;11474023;0;12288;11474023;13
6;16;2;0;16;16;PartitionedOutput;2277.700;3885517;0;15735296;3885517;14
6;17;2;1;16;16;PartialAggregation;10248.470;11474023;0;76062848;3885537;15
6;18;2;1;16;16;FilterProject;35.260;3885537;0;0;3885537;17
6;19;2;1;16;16;LocalExchangeSourceOperator;836.810;3885537;0;535552;3885537;18
6;20;2;5;16;16;ExchangeOperator;0.428;100;0;1152;100;43
6;21;2;5;16;16;FilterProject;1.033;100;0;0;100;20
6;22;2;4;16;16;LocalExchangeSinkOperator;0.716;100;0;0;100;23
6;23;2;5;16;16;LocalExchangeSourceOperator;3.209;100;0;512;100;21
6;24;2;4;16;16;HashBuilderOperator;3.631;100;0;131072;0;22
6;25;2;3;16;16;ExchangeOperator;426.495;11474023;0;4915200;11474023;37
6;26;2;3;16;16;FilterProject;33.480;11474023;0;0;11474023;25
