query_num;query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;add_input_wall_ms;get_output_wall_ms;finish_wall_ms;blocked_wall_ms;is_blocked_wall_ms;l_input_rows;r_input_rows;input_rows;raw_input_rows;output_rows;input_bytes;raw_input_bytes;output_bytes;output_per_input_rows;output_per_input_bytes;bytes_per_input_row;bytes_per_output_row;blocked_ratio;add_input_calls;get_output_calls;finish_calls;total_drivers;peak_mem;user_mem;revocable_mem;system_mem;spilled_bytes;physical_written_bytes;build_keys;null_build_keys;probe_keys;null_probe_keys;input_avg_rows_per_call;input_var_proxy;child_count;is_leaf;is_exchange_like;is_join;child_plan;execution_time_per_dop
11;2;23;3;2;64;64;LocalExchangeSourceOperator;0.343281;15.780;2.010;4.180;0.000;2.010;159664;0;159664;0;159664;1636480;0;1636480;1.000000;1.000000;10.249524;10.249524;0.000000;20;594;658;64;94208;263168;0;0;0;0;0;0;0;0;7983.200000;254925928.960000;1;0;1;0;21;0.343281
11;2;24;3;1;64;64;HashBuilderOperator;1.22766;31.140;2.750;44.680;613.510;2.750;159664;0;159664;0;0;1636304;0;0;0.000000;0.000000;10.248422;0.000000;0.886473;320;832;896;64;8085504;36208640;0;0;0;0;159664;0;0;0;498.950000;19667137.097500;1;0;0;0;22;1.22766
11;2;25;3;0;64;64;TableScanOperator;66.5651;0.000;4260.000;0.168;0.000;4260.000;3193280;0;3193280;80000000;3193280;864345961;1603033711;864345961;1.000000;1.000000;270.676534;270.676534;0.000000;0;24166;64;64;116817536;362272640;0;0;0;0;0;0;0;0;0.000000;0.000000;0;1;0;0;;66.5651
11;2;26;3;0;64;64;LookupJoinOperator;1.70266;23.010;63.650;22.310;2370.000;63.650;3193280;0;3193280;0;3193280;785810994;0;0;1.000000;0.000000;246.082709;0.000000;0.956042;8034;16196;8226;64;0;0;0;0;0;0;0;0;3193280;0;397.470749;326853505.029329;2;0;0;1;24,25;1.70266
11;2;27;3;0;64;64;FilterProject;3.99547;22.390;210.660;22.660;0.000;210.660;3193280;0;3193280;0;3193280;0;0;31209650;1.000000;0.000000;0.000000;9.773540;0.000000;8034;16324;8354;64;4096;0;0;0;0;0;0;0;0;0;397.470749;326853505.029329;1;0;0;0;26;3.99547
11;2;28;3;0;64;64;PartialAggregation;138.283;8670.000;157.150;22.960;0.000;157.150;3193280;0;3193280;0;3007434;31209650;0;66192186;0.941801;2.120888;9.773540;22.009522;0.000000;8034;8691;8418;64;6359040;0;0;0;0;0;0;0;0;0;397.470749;326853505.029329;1;0;0;0;27;138.283
11;2;29;3;0;64;64;PartitionedOutput;2.5175;85.020;73.920;2.180;0.000;73.920;3007434;0;3007434;0;3007434;66192186;0;48148365;1.000000;0.727403;22.009522;16.009783;0.000000;337;721;785;64;1362688;47362048;0;0;0;0;0;0;0;0;8924.136499;6835341138.468015;1;0;0;0;28;2.5175
11;2;30;3;2;64;64;ExchangeOperator;0.0365313;0.000;2.130;0.208;1590.000;2.130;159664;0;159664;159664;159664;1636480;1278192;1636480;1.000000;1.000000;10.249524;10.249524;0.998532;0;84;64;64;196736;262144;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;37;0.0365313
11;2;31;4;2;64;64;FilterProject;0.0438125;0.024;1.290;1.490;0.000;1.290;4;0;4;0;4;128;0;128;1.000000;1.000000;32.000000;32.000000;0.000000;4;268;328;64;0;0;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;0;0;38;0.0438125
11;2;32;4;1;64;64;LocalExchangeSinkOperator;0.022625;0.000;1.190;0.258;754.380;1.190;4;0;4;0;4;128;0;128;1.000000;1.000000;32.000000;32.000000;0.998084;0;136;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;33;0.022625
11;2;33;4;2;64;64;LocalExchangeSourceOperator;0.0932969;0.511;1.540;3.920;0.000;1.540;4;0;4;0;4;128;0;128;1.000000;1.000000;32.000000;32.000000;0.000000;4;328;392;64;2048;8192;0;0;0;0;0;0;0;0;1.000000;0.000000;1;0;1;0;31;0.0932969
11;2;34;4;1;64;64;HashBuilderOperator;0.138219;0.111;0.915;7.820;79.880;0.915;4;0;4;0;0;128;0;0;0.000000;0.000000;32.000000;0.000000;0.900299;4;200;264;64;65536;278528;0;0;0;0;4;0;0;0;1.000000;0.000000;1;0;0;0;32;0.138219
